plot_number,lookup_status,pdf_status,upstream_status,duration_ms,identity_status,failure_code,failure_reason
780,EXACT_SUCCESS,SUCCESS,200,15816,EXACT,,
782,EXACT_SUCCESS,SUCCESS,200,14960,EXACT,,
860,EXACT_SUCCESS,SUCCESS,200,15988,EXACT,,
220,EXACT_SUCCESS,SUCCESS,200,15776,EXACT,,
781,EXACT_SUCCESS,SUCCESS,200,15275,EXACT,,
761,EXACT_SUCCESS,SUCCESS,200,15106,EXACT,,
327,EXACT_SUCCESS,SUCCESS,200,15541,EXACT,,
328,EXACT_SUCCESS,SUCCESS,200,14781,EXACT,,
925,NOT_FOUND,SKIPPED,200,24637,NOT_FOUND,PLOT_NOT_FOUND,Plot number '925' could not be verified in official Bhulekh records for village 'Dimbo'.
326,EXACT_SUCCESS,SUCCESS,200,14745,EXACT,,
733,EXACT_SUCCESS,SUCCESS,200,15331,EXACT,,
751,EXACT_SUCCESS,SKIPPED,200,14866,EXACT,,
836,EXACT_SUCCESS,SKIPPED,200,15826,EXACT,,
835,EXACT_SUCCESS,SKIPPED,200,14851,EXACT,,
675,EXACT_SUCCESS,SKIPPED,200,15969,EXACT,,
732,EXACT_SUCCESS,SKIPPED,200,15734,EXACT,,
810,EXACT_SUCCESS,SKIPPED,200,15773,EXACT,,
752,EXACT_SUCCESS,SKIPPED,200,15150,EXACT,,
677,EXACT_SUCCESS,SKIPPED,200,15141,EXACT,,
748,EXACT_SUCCESS,SKIPPED,200,14982,EXACT,,
917,EXACT_SUCCESS,SKIPPED,200,15248,EXACT,,
747,EXACT_SUCCESS,SKIPPED,200,14945,EXACT,,
746,EXACT_SUCCESS,SKIPPED,200,14708,EXACT,,
512,EXACT_SUCCESS,SKIPPED,200,15408,EXACT,,
739,EXACT_SUCCESS,SKIPPED,200,15219,EXACT,,
750,EXACT_SUCCESS,SKIPPED,200,15891,EXACT,,
673,EXACT_SUCCESS,SKIPPED,200,14823,EXACT,,
699,EXACT_SUCCESS,SKIPPED,200,15249,EXACT,,
762,EXACT_SUCCESS,SKIPPED,200,15588,EXACT,,
736,EXACT_SUCCESS,SKIPPED,200,15023,EXACT,,
749,EXACT_SUCCESS,SKIPPED,200,14883,EXACT,,
921,NOT_FOUND,SKIPPED,200,23602,NOT_FOUND,PLOT_NOT_FOUND,Plot number '921' could not be verified in official Bhulekh records for village 'Dimbo'.
95,EXACT_SUCCESS,SKIPPED,200,14556,EXACT,,
737,EXACT_SUCCESS,SKIPPED,200,14876,EXACT,,
